ID	SRCID	GLOSS	CONCEPTICON_GLOSS	CONCEPTICON_ID
746	1330	valley	VALLEY	921
747	1332	forest	FOREST	420
748	1334	plain	PLAIN	652
749	1336	marsh		
750	1338	lake	LAKE	624
751	1339	pond	POND	2035
752	1341	spring		
753	1343	river	RIVER	666
754	1344	stream	STREAM	947
755	1346	water	WATER	948
756	1348	bubble		
757	1350	sink (v)	SINK (DESCEND)	1088
758	1352	float (v)	FLOAT	1574
759	1354	flow (v)	FLOW	2003
760	1356	waterfall	WATERFALL	943
761	1358	shore	SHORE	113
762	1359	bank		
763	1361	cliff	CLIFF	992
764	1362	rocky mountain		
765	1364	wave	WAVE	978
766	1366	island	ISLAND	622
767	1368	stone	STONE	857
768	1370	rock	ROCK	668
769	1372	sand	SAND	671
770	1374	earth		
771	1375	red clay		
772	1377	mud	MUD	640
773	1379	clay	CLAY	1399
774	1381	iron	IRON	621
775	1382	stain		
776	1384	gold	GOLD	1369
777	1386	silver	SILVER	759
778	1388	copper	COPPER	1825
779	1390	lead		
780	1391	brass		
781	1394	juniper		
782	1395	pine	PINE	1740
783	1396	tree	TREE	906
784	1398	grass	GRASS	606
785	1400	trunk	TREE TRUNK	344
786	1402	bark	BARK	1204
787	1404	stem		
788	1406	branch	BRANCH	1531
789	1408	leaf	LEAF	628
790	1409	leaf	LEAF	628
791	1411	vine	VINE	343
792	1413	thorn	THORN	124
793	1415	flower	FLOWER	239
794	1417	root	ROOT	670
795	1419	come out (v)		
796	1421	bear fruit (v)/bear fruit (果物) (v)	BEAR FRUIT	3054
797	1423	wither (v)		
798	1425	bamboo	BAMBOO	1927
799	1426	cane		
800	1428	mushroom	MUSHROOM	641
